Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP
2021-01-04,交通银行,EQ,4.48,4.48,4.49,4.44,4.47,4.47,4.466666666666666
2021-01-05,交通银行,EQ,4.47,4.46,4.49,4.44,4.48,4.48,4.47
2021-01-06,交通银行,EQ,4.48,4.47,4.5,4.46,4.5,4.5,4.486666666666667
2021-01-07,交通银行,EQ,4.5,4.5,4.51,4.46,4.5,4.5,4.489999999999999
2021-01-08,交通银行,EQ,4.5,4.5,4.51,4.47,4.5,4.5,4.493333333333333
2021-01-11,交通银行,EQ,4.5,4.5,4.52,4.47,4.48,4.48,4.489999999999999
2021-01-12,交通银行,EQ,4.48,4.48,4.5,4.45,4.49,4.49,4.4799999999999995
2021-01-13,交通银行,EQ,4.49,4.49,4.51,4.46,4.5,4.5,4.489999999999999
2021-01-14,交通银行,EQ,4.5,4.49,4.54,4.49,4.51,4.51,4.513333333333334
2021-01-15,交通银行,EQ,4.51,4.52,4.59,4.52,4.54,4.54,4.55
2021-01-18,交通银行,EQ,4.54,4.54,4.55,4.51,4.53,4.53,4.53
2021-01-19,交通银行,EQ,4.53,4.53,4.61,4.51,4.6,4.6,4.573333333333333
2021-01-20,交通银行,EQ,4.6,4.58,4.62,4.54,4.55,4.55,4.57
2021-01-21,交通银行,EQ,4.55,4.54,4.57,4.53,4.54,4.54,4.546666666666667
2021-01-22,交通银行,EQ,4.54,4.53,4.54,4.49,4.5,4.5,4.510000000000001
2021-01-25,交通银行,EQ,4.5,4.5,4.5,4.46,4.48,4.48,4.48
2021-01-26,交通银行,EQ,4.48,4.47,4.51,4.46,4.47,4.47,4.4799999999999995
2021-01-27,交通银行,EQ,4.47,4.48,4.52,4.46,4.48,4.48,4.486666666666667
2021-01-28,交通银行,EQ,4.48,4.47,4.48,4.45,4.47,4.47,4.466666666666666
2021-01-29,交通银行,EQ,4.47,4.46,4.5,4.45,4.46,4.46,4.47
2021-02-01,交通银行,EQ,4.46,4.46,4.5,4.44,4.49,4.49,4.4766666666666675
2021-02-02,交通银行,EQ,4.49,4.49,4.52,4.47,4.48,4.48,4.489999999999999
2021-02-03,交通银行,EQ,4.48,4.48,4.5,4.46,4.48,4.48,4.48
2021-02-04,交通银行,EQ,4.48,4.48,4.5,4.46,4.47,4.47,4.476666666666667
2021-02-05,交通银行,EQ,4.47,4.47,4.55,4.46,4.54,4.54,4.516666666666667
2021-02-08,交通银行,EQ,4.54,4.53,4.54,4.5,4.51,4.51,4.516666666666667
2021-02-09,交通银行,EQ,4.51,4.51,4.52,4.48,4.5,4.5,4.5
2021-02-10,交通银行,EQ,4.5,4.5,4.56,4.5,4.53,4.53,4.53
2021-02-18,交通银行,EQ,4.53,4.58,4.59,4.55,4.56,4.56,4.566666666666666
2021-02-19,交通银行,EQ,4.56,4.57,4.61,4.55,4.6,4.6,4.586666666666667
2021-02-22,交通银行,EQ,4.6,4.6,4.65,4.58,4.62,4.62,4.616666666666667
2021-02-23,交通银行,EQ,4.62,4.62,4.65,4.6,4.6,4.6,4.616666666666666
2021-02-24,交通银行,EQ,4.6,4.61,4.63,4.55,4.57,4.57,4.583333333333333
2021-02-25,交通银行,EQ,4.57,4.58,4.64,4.57,4.62,4.62,4.61
2021-02-26,交通银行,EQ,4.62,4.61,4.63,4.56,4.57,4.57,4.586666666666667
2021-03-01,交通银行,EQ,4.57,4.57,4.59,4.56,4.57,4.57,4.573333333333333
2021-03-02,交通银行,EQ,4.57,4.58,4.58,4.53,4.55,4.55,4.553333333333334
2021-03-03,交通银行,EQ,4.55,4.54,4.63,4.54,4.62,4.62,4.596666666666667
2021-03-04,交通银行,EQ,4.62,4.6,4.64,4.59,4.61,4.61,4.613333333333333
2021-03-05,交通银行,EQ,4.61,4.61,4.65,4.57,4.64,4.64,4.62
2021-03-08,交通银行,EQ,4.64,4.65,4.68,4.63,4.63,4.63,4.646666666666666
2021-03-09,交通银行,EQ,4.63,4.65,4.68,4.62,4.64,4.64,4.646666666666667
2021-03-10,交通银行,EQ,4.64,4.64,4.67,4.61,4.65,4.65,4.6433333333333335
2021-03-11,交通银行,EQ,4.65,4.66,4.7,4.64,4.66,4.66,4.666666666666667
2021-03-12,交通银行,EQ,4.66,4.65,4.69,4.64,4.68,4.68,4.67
2021-03-15,交通银行,EQ,4.68,4.68,4.75,4.68,4.73,4.73,4.72
2021-03-16,交通银行,EQ,4.73,4.74,4.76,4.71,4.73,4.73,4.733333333333333
2021-03-17,交通银行,EQ,4.73,4.73,4.74,4.67,4.69,4.69,4.7
2021-03-18,交通银行,EQ,4.69,4.69,4.71,4.67,4.68,4.68,4.6866666666666665
2021-03-19,交通银行,EQ,4.68,4.68,4.68,4.61,4.63,4.63,4.64
2021-03-22,交通银行,EQ,4.63,4.62,4.68,4.61,4.66,4.66,4.6499999999999995
2021-03-23,交通银行,EQ,4.66,4.67,4.7,4.65,4.68,4.68,4.676666666666667
2021-03-24,交通银行,EQ,4.68,4.67,4.68,4.64,4.66,4.66,4.66
2021-03-25,交通银行,EQ,4.66,4.67,4.68,4.62,4.63,4.63,4.6433333333333335
2021-03-26,交通银行,EQ,4.63,4.63,4.66,4.62,4.66,4.66,4.646666666666667
2021-03-29,交通银行,EQ,4.66,4.7,4.87,4.7,4.84,4.84,4.803333333333334
2021-03-30,交通银行,EQ,4.84,4.85,4.9,4.83,4.9,4.9,4.876666666666667
2021-03-31,交通银行,EQ,4.9,4.9,4.97,4.86,4.95,4.95,4.926666666666667
2021-04-01,交通银行,EQ,4.95,4.96,4.98,4.89,4.92,4.92,4.930000000000001
2021-04-02,交通银行,EQ,4.92,4.92,4.92,4.83,4.85,4.85,4.866666666666666
2021-04-06,交通银行,EQ,4.85,4.87,4.89,4.85,4.87,4.87,4.87
2021-04-07,交通银行,EQ,4.87,4.87,4.94,4.85,4.93,4.93,4.906666666666666
2021-04-08,交通银行,EQ,4.93,4.93,4.94,4.91,4.93,4.93,4.926666666666667
2021-04-09,交通银行,EQ,4.93,4.93,4.93,4.88,4.91,4.91,4.906666666666666
2021-04-12,交通银行,EQ,4.91,4.91,4.95,4.9,4.94,4.94,4.930000000000001
2021-04-13,交通银行,EQ,4.94,4.94,4.96,4.88,4.9,4.9,4.913333333333333
2021-04-14,交通银行,EQ,4.9,4.91,4.91,4.85,4.86,4.86,4.873333333333334
2021-04-15,交通银行,EQ,4.86,4.86,4.87,4.82,4.86,4.86,4.8500000000000005
2021-04-16,交通银行,EQ,4.86,4.86,4.9,4.85,4.89,4.89,4.88
2021-04-19,交通银行,EQ,4.89,4.9,4.93,4.89,4.9,4.9,4.906666666666667
2021-04-20,交通银行,EQ,4.9,4.9,4.92,4.89,4.92,4.92,4.909999999999999
2021-04-21,交通银行,EQ,4.92,4.91,4.94,4.9,4.92,4.92,4.92
2021-04-22,交通银行,EQ,4.92,4.93,4.93,4.88,4.89,4.89,4.8999999999999995
2021-04-23,交通银行,EQ,4.89,4.9,4.93,4.89,4.93,4.93,4.916666666666667
2021-04-26,交通银行,EQ,4.93,4.93,4.94,4.87,4.87,4.87,4.8933333333333335
2021-04-27,交通银行,EQ,4.87,4.87,4.89,4.85,4.86,4.86,4.866666666666666
2021-04-28,交通银行,EQ,4.86,4.88,4.88,4.82,4.84,4.84,4.846666666666667
2021-04-29,交通银行,EQ,4.84,4.84,4.91,4.83,4.9,4.9,4.88
2021-04-30,交通银行,EQ,4.9,4.9,4.91,4.78,4.81,4.81,4.833333333333333
2021-05-06,交通银行,EQ,4.81,4.81,4.87,4.81,4.84,4.84,4.84
2021-05-07,交通银行,EQ,4.84,4.84,4.95,4.83,4.93,4.93,4.903333333333333
2021-05-10,交通银行,EQ,4.93,4.94,4.95,4.9,4.94,4.94,4.930000000000001
2021-05-11,交通银行,EQ,4.94,4.92,4.95,4.91,4.95,4.95,4.9366666666666665
2021-05-12,交通银行,EQ,4.95,4.93,4.97,4.92,4.94,4.94,4.943333333333334
2021-05-13,交通银行,EQ,4.94,4.93,4.94,4.91,4.93,4.93,4.926666666666667
2021-05-14,交通银行,EQ,4.93,4.93,4.96,4.91,4.95,4.95,4.94
2021-05-17,交通银行,EQ,4.95,4.95,4.98,4.92,4.94,4.94,4.946666666666666
2021-05-18,交通银行,EQ,4.94,4.95,4.96,4.94,4.95,4.95,4.95
2021-05-19,交通银行,EQ,4.95,4.95,4.95,4.91,4.91,4.91,4.923333333333333
2021-05-20,交通银行,EQ,4.91,4.92,4.93,4.89,4.91,4.91,4.91
2021-05-21,交通银行,EQ,4.91,4.91,4.92,4.87,4.87,4.87,4.886666666666667
2021-05-24,交通银行,EQ,4.87,4.87,4.9,4.86,4.87,4.87,4.876666666666668
2021-05-25,交通银行,EQ,4.87,4.88,4.94,4.87,4.92,4.92,4.91
2021-05-26,交通银行,EQ,4.92,4.93,4.94,4.91,4.94,4.94,4.930000000000001
2021-05-27,交通银行,EQ,4.94,4.93,4.95,4.91,4.91,4.91,4.923333333333333
2021-05-28,交通银行,EQ,4.91,4.93,4.93,4.9,4.93,4.93,4.92
2021-05-31,交通银行,EQ,4.93,4.93,4.93,4.88,4.9,4.9,4.903333333333333
2021-06-01,交通银行,EQ,4.9,4.89,4.9,4.85,4.87,4.87,4.873333333333334
2021-06-02,交通银行,EQ,4.87,4.86,4.88,4.85,4.88,4.88,4.87
2021-06-03,交通银行,EQ,4.88,4.88,4.91,4.87,4.89,4.89,4.890000000000001
2021-06-04,交通银行,EQ,4.89,4.89,4.92,4.88,4.91,4.91,4.903333333333333
2021-06-07,交通银行,EQ,4.91,4.91,4.92,4.89,4.9,4.9,4.903333333333333
2021-06-08,交通银行,EQ,4.9,4.9,4.91,4.88,4.91,4.91,4.8999999999999995
2021-06-09,交通银行,EQ,4.91,4.9,4.91,4.89,4.89,4.89,4.896666666666667
2021-06-10,交通银行,EQ,4.89,4.89,4.91,4.88,4.88,4.88,4.89
2021-06-11,交通银行,EQ,4.88,4.89,4.89,4.87,4.88,4.88,4.88
2021-06-15,交通银行,EQ,4.88,4.88,4.88,4.83,4.83,4.83,4.846666666666667
2021-06-16,交通银行,EQ,4.83,4.83,4.87,4.82,4.84,4.84,4.843333333333334
