Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP
2021-01-04,保利发展,EQ,15.68,15.68,15.68,15.18,15.29,15.29,15.383333333333333
2021-01-05,保利发展,EQ,15.29,15.19,15.2,14.68,15.1,15.1,14.993333333333332
2021-01-06,保利发展,EQ,15.1,15.02,15.27,14.95,15.23,15.23,15.15
2021-01-07,保利发展,EQ,15.23,15.24,15.45,14.81,15.06,15.06,15.106666666666667
2021-01-08,保利发展,EQ,15.06,14.98,15.26,14.92,15.19,15.19,15.123333333333333
2021-01-11,保利发展,EQ,15.19,15.19,15.45,14.96,15.04,15.04,15.15
2021-01-12,保利发展,EQ,15.04,15.05,15.19,14.86,15.17,15.17,15.073333333333332
2021-01-13,保利发展,EQ,15.17,15.25,15.68,15.12,15.45,15.45,15.416666666666666
2021-01-14,保利发展,EQ,15.45,15.43,15.83,15.38,15.47,15.47,15.56
2021-01-15,保利发展,EQ,15.47,15.41,15.75,15.41,15.52,15.52,15.56
2021-01-18,保利发展,EQ,15.52,15.59,16.04,15.39,15.96,15.96,15.796666666666667
2021-01-19,保利发展,EQ,15.96,15.75,16.4,15.6,16.1,16.1,16.033333333333335
2021-01-20,保利发展,EQ,16.1,15.97,15.98,15.51,15.68,15.68,15.723333333333334
2021-01-21,保利发展,EQ,15.68,15.6,15.66,15.23,15.32,15.32,15.403333333333334
2021-01-22,保利发展,EQ,15.32,15.16,15.17,14.83,14.83,14.83,14.943333333333333
2021-01-25,保利发展,EQ,14.83,14.76,14.76,14.36,14.63,14.63,14.583333333333334
2021-01-26,保利发展,EQ,14.63,14.59,14.79,14.51,14.6,14.6,14.633333333333333
2021-01-27,保利发展,EQ,14.6,14.61,14.76,14.25,14.37,14.37,14.459999999999999
2021-01-28,保利发展,EQ,14.37,14.21,14.21,13.93,14.05,14.05,14.063333333333333
2021-01-29,保利发展,EQ,14.05,14.09,14.15,13.77,13.81,13.81,13.910000000000002
2021-02-01,保利发展,EQ,13.81,13.82,13.96,13.58,13.82,13.82,13.786666666666667
2021-02-02,保利发展,EQ,13.82,13.82,14.07,13.74,14.0,14.0,13.936666666666667
2021-02-03,保利发展,EQ,14.0,14.05,14.05,13.7,13.76,13.76,13.836666666666666
2021-02-04,保利发展,EQ,13.76,13.74,13.74,13.31,13.38,13.38,13.476666666666667
2021-02-05,保利发展,EQ,13.38,13.38,13.91,13.34,13.75,13.75,13.666666666666666
2021-02-08,保利发展,EQ,13.75,13.98,14.22,13.8,13.95,13.95,13.99
2021-02-09,保利发展,EQ,13.95,13.95,14.04,13.72,13.88,13.88,13.88
2021-02-10,保利发展,EQ,13.88,13.87,14.01,13.77,13.83,13.83,13.87
2021-02-18,保利发展,EQ,13.83,13.91,14.4,13.9,14.36,14.36,14.219999999999999
2021-02-19,保利发展,EQ,14.36,14.27,14.5,14.18,14.41,14.41,14.363333333333335
2021-02-22,保利发展,EQ,14.41,14.42,14.81,14.3,14.7,14.7,14.603333333333333
2021-02-23,保利发展,EQ,14.7,14.56,14.82,14.53,14.65,14.65,14.666666666666666
