Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP
2021-01-04,国电南瑞,EQ,26.83,26.83,27.68,26.66,26.69,26.69,27.01
2021-01-05,国电南瑞,EQ,26.69,26.6,27.13,26.1,27.12,27.12,26.783333333333335
2021-01-06,国电南瑞,EQ,27.12,27.0,27.12,25.88,26.29,26.29,26.429999999999996
2021-01-07,国电南瑞,EQ,26.29,26.14,27.2,26.08,27.2,27.2,26.826666666666668
2021-01-08,国电南瑞,EQ,27.2,27.3,28.48,27.27,27.82,27.82,27.856666666666666
2021-01-11,国电南瑞,EQ,27.82,28.0,28.45,26.62,26.78,26.78,27.28333333333333
2021-01-12,国电南瑞,EQ,26.78,26.9,27.51,26.55,27.42,27.42,27.16
2021-01-13,国电南瑞,EQ,27.42,27.58,28.05,26.83,27.5,27.5,27.459999999999997
2021-01-14,国电南瑞,EQ,27.5,27.5,28.23,27.03,27.51,27.51,27.590000000000003
2021-01-15,国电南瑞,EQ,27.51,27.35,27.85,26.6,26.9,26.9,27.116666666666664
2021-01-18,国电南瑞,EQ,26.9,26.75,29.59,26.54,28.89,28.89,28.34
2021-01-19,国电南瑞,EQ,28.89,29.09,29.4,28.66,29.31,29.31,29.123333333333335
2021-01-20,国电南瑞,EQ,29.31,29.02,30.12,28.88,29.43,29.43,29.47666666666667
2021-01-21,国电南瑞,EQ,29.43,29.8,30.38,29.19,29.8,29.8,29.790000000000003
2021-01-22,国电南瑞,EQ,29.8,30.25,31.82,29.71,31.1,31.1,30.876666666666665
2021-01-25,国电南瑞,EQ,31.1,30.81,31.99,30.48,31.86,31.86,31.44333333333333
2021-01-26,国电南瑞,EQ,31.86,31.91,31.97,30.38,30.87,30.87,31.073333333333334
2021-01-27,国电南瑞,EQ,30.87,30.64,31.5,30.2,31.41,31.41,31.036666666666665
2021-01-28,国电南瑞,EQ,31.41,30.67,30.85,29.19,29.42,29.42,29.820000000000004
2021-01-29,国电南瑞,EQ,29.42,29.8,30.09,28.9,29.42,29.42,29.47
2021-02-01,国电南瑞,EQ,29.42,29.25,30.16,29.05,29.7,29.7,29.636666666666667
2021-02-02,国电南瑞,EQ,29.7,29.7,30.67,29.4,30.42,30.42,30.163333333333338
2021-02-03,国电南瑞,EQ,30.42,30.42,30.79,30.06,30.27,30.27,30.37333333333333
2021-02-04,国电南瑞,EQ,30.27,30.3,30.49,28.9,29.56,29.56,29.650000000000002
2021-02-05,国电南瑞,EQ,29.56,29.71,30.05,28.95,29.24,29.24,29.41333333333333
2021-02-08,国电南瑞,EQ,29.24,29.3,30.99,28.9,30.98,30.98,30.290000000000003
2021-02-09,国电南瑞,EQ,30.98,31.15,33.39,31.11,33.38,33.38,32.626666666666665
2021-02-10,国电南瑞,EQ,33.38,33.28,33.93,32.71,33.78,33.78,33.473333333333336
2021-02-18,国电南瑞,EQ,33.78,34.34,34.76,32.53,32.88,32.88,33.38999999999999
2021-02-19,国电南瑞,EQ,32.88,33.1,33.12,32.11,32.5,32.5,32.57666666666666
2021-02-22,国电南瑞,EQ,32.5,32.39,32.55,30.86,30.92,30.92,31.44333333333333
2021-02-23,国电南瑞,EQ,30.92,30.81,31.15,29.82,29.93,29.93,30.3
2021-02-24,国电南瑞,EQ,29.93,30.14,30.28,28.32,28.79,28.79,29.13
2021-02-25,国电南瑞,EQ,28.79,29.12,29.28,28.2,28.23,28.23,28.570000000000004
2021-02-26,国电南瑞,EQ,28.23,27.92,28.84,27.59,28.39,28.39,28.27333333333333
2021-03-01,国电南瑞,EQ,28.39,28.78,29.92,28.74,29.29,29.29,29.316666666666663
2021-03-02,国电南瑞,EQ,29.29,30.2,32.22,30.2,31.57,31.57,31.330000000000002
2021-03-03,国电南瑞,EQ,31.57,31.0,31.0,29.43,29.75,29.75,30.060000000000002
2021-03-04,国电南瑞,EQ,29.75,29.1,29.42,28.0,28.44,28.44,28.62
2021-03-05,国电南瑞,EQ,28.44,28.15,29.38,28.1,28.83,28.83,28.77
2021-03-08,国电南瑞,EQ,28.83,28.95,29.11,26.66,26.75,26.75,27.506666666666664
2021-03-09,国电南瑞,EQ,26.75,26.75,27.9,26.0,26.64,26.64,26.846666666666664
2021-03-10,国电南瑞,EQ,26.64,27.5,27.73,26.71,26.8,26.8,27.08
2021-03-11,国电南瑞,EQ,26.8,26.85,27.35,26.7,27.31,27.31,27.12
2021-03-12,国电南瑞,EQ,27.31,27.31,28.7,27.09,28.63,28.63,28.14
2021-03-15,国电南瑞,EQ,28.63,28.21,29.0,28.01,28.6,28.6,28.536666666666672
2021-03-16,国电南瑞,EQ,28.6,28.64,30.4,28.64,29.9,29.9,29.646666666666665
2021-03-17,国电南瑞,EQ,29.9,29.6,30.64,29.17,30.58,30.58,30.13
2021-03-18,国电南瑞,EQ,30.58,30.28,30.82,29.99,30.59,30.59,30.46666666666667
2021-03-19,国电南瑞,EQ,30.59,30.0,30.36,29.2,29.41,29.41,29.656666666666666
2021-03-22,国电南瑞,EQ,29.41,29.83,31.95,29.78,31.71,31.71,31.146666666666665
2021-03-23,国电南瑞,EQ,31.71,31.85,32.3,31.33,32.0,32.0,31.876666666666665
2021-03-24,国电南瑞,EQ,32.0,31.41,31.95,30.58,30.81,30.81,31.113333333333333
2021-03-25,国电南瑞,EQ,30.81,30.5,31.78,30.23,31.1,31.1,31.036666666666672
2021-03-26,国电南瑞,EQ,31.1,31.1,32.2,31.01,31.61,31.61,31.60666666666667
2021-03-29,国电南瑞,EQ,31.61,31.9,33.07,31.9,32.51,32.51,32.49333333333333
2021-03-30,国电南瑞,EQ,32.51,32.05,32.44,31.35,31.48,31.48,31.756666666666664
2021-03-31,国电南瑞,EQ,31.48,31.65,31.65,30.45,31.14,31.14,31.08
2021-04-01,国电南瑞,EQ,31.14,31.1,32.45,30.88,31.77,31.77,31.7
2021-04-02,国电南瑞,EQ,31.77,31.85,32.3,31.38,31.53,31.53,31.736666666666665
2021-04-06,国电南瑞,EQ,31.53,31.49,31.95,30.85,31.78,31.78,31.526666666666667
2021-04-07,国电南瑞,EQ,31.78,31.7,31.72,30.93,31.5,31.5,31.383333333333336
