Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP
2021-01-04,工商银行,EQ,4.97,4.97,5.01,4.95,5.01,5.01,4.99
2021-01-05,工商银行,EQ,5.01,4.99,4.99,4.94,4.97,4.97,4.966666666666666
2021-01-06,工商银行,EQ,4.97,4.96,4.98,4.95,4.97,4.97,4.966666666666666
2021-01-07,工商银行,EQ,4.97,4.97,5.0,4.95,5.0,5.0,4.983333333333333
2021-01-08,工商银行,EQ,5.0,5.0,5.03,4.98,5.0,5.0,5.003333333333334
2021-01-11,工商银行,EQ,5.0,5.0,5.04,4.98,4.99,4.99,5.003333333333333
2021-01-12,工商银行,EQ,4.99,4.99,5.02,4.96,5.02,5.02,5.0
2021-01-13,工商银行,EQ,5.02,5.03,5.06,5.0,5.06,5.06,5.039999999999999
2021-01-14,工商银行,EQ,5.06,5.05,5.15,5.04,5.08,5.08,5.090000000000001
2021-01-15,工商银行,EQ,5.08,5.1,5.26,5.1,5.15,5.15,5.17
2021-01-18,工商银行,EQ,5.15,5.13,5.18,5.08,5.14,5.14,5.133333333333333
2021-01-19,工商银行,EQ,5.14,5.14,5.22,5.1,5.2,5.2,5.173333333333333
2021-01-20,工商银行,EQ,5.2,5.18,5.25,5.13,5.15,5.15,5.176666666666667
2021-01-21,工商银行,EQ,5.15,5.16,5.17,5.1,5.13,5.13,5.133333333333333
2021-01-22,工商银行,EQ,5.13,5.12,5.12,5.03,5.04,5.04,5.0633333333333335
2021-01-25,工商银行,EQ,5.04,5.03,5.05,4.99,5.05,5.05,5.03
2021-01-26,工商银行,EQ,5.05,5.03,5.07,5.01,5.03,5.03,5.036666666666666
2021-01-27,工商银行,EQ,5.03,5.04,5.15,5.03,5.07,5.07,5.083333333333333
2021-01-28,工商银行,EQ,5.07,5.05,5.07,5.01,5.03,5.03,5.036666666666666
2021-01-29,工商银行,EQ,5.03,5.03,5.12,5.02,5.09,5.09,5.076666666666667
2021-02-01,工商银行,EQ,5.09,5.08,5.15,5.05,5.14,5.14,5.113333333333333
2021-02-02,工商银行,EQ,5.14,5.14,5.18,5.08,5.09,5.09,5.116666666666666
2021-02-03,工商银行,EQ,5.09,5.09,5.12,5.03,5.04,5.04,5.0633333333333335
2021-02-04,工商银行,EQ,5.04,5.04,5.12,5.03,5.07,5.07,5.073333333333333
2021-02-05,工商银行,EQ,5.07,5.07,5.21,5.06,5.18,5.18,5.1499999999999995
2021-02-08,工商银行,EQ,5.18,5.18,5.2,5.12,5.16,5.16,5.16
2021-02-09,工商银行,EQ,5.16,5.14,5.15,5.11,5.15,5.15,5.136666666666668
2021-02-10,工商银行,EQ,5.15,5.24,5.37,5.21,5.25,5.25,5.276666666666666
2021-02-18,工商银行,EQ,5.25,5.33,5.33,5.22,5.24,5.24,5.263333333333334
2021-02-19,工商银行,EQ,5.24,5.22,5.3,5.21,5.24,5.24,5.25
2021-02-22,工商银行,EQ,5.24,5.25,5.41,5.24,5.37,5.37,5.34
2021-02-23,工商银行,EQ,5.37,5.35,5.45,5.32,5.38,5.38,5.383333333333333
2021-02-24,工商银行,EQ,5.38,5.37,5.42,5.24,5.3,5.3,5.32
2021-02-25,工商银行,EQ,5.3,5.29,5.48,5.28,5.44,5.44,5.400000000000001
2021-02-26,工商银行,EQ,5.44,5.39,5.49,5.35,5.37,5.37,5.403333333333333
2021-03-01,工商银行,EQ,5.37,5.36,5.42,5.32,5.34,5.34,5.359999999999999
2021-03-02,工商银行,EQ,5.34,5.35,5.35,5.24,5.29,5.29,5.293333333333333
2021-03-03,工商银行,EQ,5.29,5.28,5.48,5.26,5.45,5.45,5.396666666666667
2021-03-04,工商银行,EQ,5.45,5.43,5.51,5.41,5.45,5.45,5.456666666666667
2021-03-05,工商银行,EQ,5.45,5.43,5.59,5.37,5.57,5.57,5.510000000000001
2021-03-08,工商银行,EQ,5.57,5.58,5.61,5.51,5.53,5.53,5.550000000000001
2021-03-09,工商银行,EQ,5.53,5.57,5.63,5.43,5.46,5.46,5.506666666666667
2021-03-10,工商银行,EQ,5.46,5.44,5.46,5.35,5.4,5.4,5.403333333333333
2021-03-11,工商银行,EQ,5.4,5.45,5.54,5.43,5.48,5.48,5.483333333333333
2021-03-12,工商银行,EQ,5.48,5.47,5.5,5.43,5.44,5.44,5.456666666666667
2021-03-15,工商银行,EQ,5.44,5.45,5.58,5.42,5.55,5.55,5.516666666666667
2021-03-16,工商银行,EQ,5.55,5.56,5.63,5.54,5.6,5.6,5.59
2021-03-17,工商银行,EQ,5.6,5.58,5.6,5.48,5.53,5.53,5.536666666666666
2021-03-18,工商银行,EQ,5.53,5.52,5.54,5.46,5.48,5.48,5.493333333333333
2021-03-19,工商银行,EQ,5.48,5.49,5.5,5.32,5.36,5.36,5.3933333333333335
2021-03-22,工商银行,EQ,5.36,5.32,5.45,5.32,5.42,5.42,5.396666666666666
2021-03-23,工商银行,EQ,5.42,5.4,5.5,5.35,5.4,5.4,5.416666666666667
2021-03-24,工商银行,EQ,5.4,5.37,5.43,5.33,5.41,5.41,5.390000000000001
2021-03-25,工商银行,EQ,5.41,5.41,5.46,5.35,5.36,5.36,5.39
2021-03-26,工商银行,EQ,5.36,5.37,5.38,5.3,5.35,5.35,5.343333333333334
2021-03-29,工商银行,EQ,5.35,5.37,5.47,5.33,5.46,5.46,5.420000000000001
2021-03-30,工商银行,EQ,5.46,5.46,5.48,5.43,5.48,5.48,5.463333333333334
2021-03-31,工商银行,EQ,5.48,5.47,5.55,5.44,5.54,5.54,5.510000000000001
2021-04-01,工商银行,EQ,5.54,5.51,5.54,5.47,5.5,5.5,5.503333333333333
2021-04-02,工商银行,EQ,5.5,5.5,5.51,5.4,5.42,5.42,5.4433333333333325
2021-04-06,工商银行,EQ,5.42,5.42,5.43,5.37,5.42,5.42,5.406666666666666
2021-04-07,工商银行,EQ,5.42,5.42,5.46,5.4,5.45,5.45,5.4366666666666665
2021-04-08,工商银行,EQ,5.45,5.46,5.47,5.41,5.44,5.44,5.44
2021-04-09,工商银行,EQ,5.44,5.44,5.44,5.4,5.42,5.42,5.419999999999999
2021-04-12,工商银行,EQ,5.42,5.42,5.5,5.39,5.48,5.48,5.456666666666667
2021-04-13,工商银行,EQ,5.48,5.48,5.53,5.45,5.51,5.51,5.496666666666667
2021-04-14,工商银行,EQ,5.51,5.51,5.52,5.43,5.45,5.45,5.466666666666666
2021-04-15,工商银行,EQ,5.45,5.43,5.45,5.39,5.45,5.45,5.43
2021-04-16,工商银行,EQ,5.45,5.43,5.46,5.41,5.43,5.43,5.433333333333334
2021-04-19,工商银行,EQ,5.43,5.44,5.46,5.41,5.44,5.44,5.436666666666667
2021-04-20,工商银行,EQ,5.44,5.43,5.44,5.38,5.39,5.39,5.403333333333333
2021-04-21,工商银行,EQ,5.39,5.38,5.41,5.37,5.37,5.37,5.383333333333334
2021-04-22,工商银行,EQ,5.37,5.38,5.39,5.31,5.33,5.33,5.343333333333334
2021-04-23,工商银行,EQ,5.33,5.31,5.34,5.27,5.29,5.29,5.3
2021-04-26,工商银行,EQ,5.29,5.31,5.32,5.26,5.27,5.27,5.283333333333333
2021-04-27,工商银行,EQ,5.27,5.26,5.27,5.22,5.24,5.24,5.243333333333333
2021-04-28,工商银行,EQ,5.24,5.24,5.25,5.18,5.2,5.2,5.21
2021-04-29,工商银行,EQ,5.2,5.2,5.24,5.18,5.22,5.22,5.213333333333334
2021-04-30,工商银行,EQ,5.22,5.21,5.22,5.08,5.13,5.13,5.1433333333333335
2021-05-06,工商银行,EQ,5.13,5.11,5.18,5.1,5.12,5.12,5.133333333333333
2021-05-07,工商银行,EQ,5.12,5.12,5.23,5.11,5.22,5.22,5.1866666666666665
2021-05-10,工商银行,EQ,5.22,5.21,5.25,5.18,5.25,5.25,5.226666666666667
2021-05-11,工商银行,EQ,5.25,5.24,5.25,5.21,5.23,5.23,5.23
2021-05-12,工商银行,EQ,5.23,5.22,5.28,5.21,5.26,5.26,5.25
2021-05-13,工商银行,EQ,5.26,5.25,5.28,5.21,5.24,5.24,5.243333333333333
2021-05-14,工商银行,EQ,5.24,5.24,5.28,5.21,5.28,5.28,5.256666666666667
2021-05-17,工商银行,EQ,5.28,5.26,5.29,5.24,5.27,5.27,5.266666666666667
2021-05-18,工商银行,EQ,5.27,5.27,5.27,5.23,5.26,5.26,5.253333333333333
2021-05-19,工商银行,EQ,5.26,5.25,5.26,5.2,5.21,5.21,5.223333333333334
2021-05-20,工商银行,EQ,5.21,5.2,5.23,5.18,5.23,5.23,5.213333333333334
2021-05-21,工商银行,EQ,5.23,5.21,5.22,5.16,5.17,5.17,5.183333333333333
2021-05-24,工商银行,EQ,5.17,5.17,5.2,5.16,5.19,5.19,5.183333333333334
2021-05-25,工商银行,EQ,5.19,5.19,5.26,5.16,5.26,5.26,5.226666666666667
2021-05-26,工商银行,EQ,5.26,5.25,5.29,5.23,5.26,5.26,5.26
2021-05-27,工商银行,EQ,5.26,5.26,5.28,5.23,5.26,5.26,5.256666666666667
2021-05-28,工商银行,EQ,5.26,5.26,5.27,5.23,5.27,5.27,5.256666666666667
2021-05-31,工商银行,EQ,5.27,5.25,5.26,5.19,5.21,5.21,5.22
2021-06-01,工商银行,EQ,5.21,5.21,5.21,5.17,5.18,5.18,5.1866666666666665
2021-06-02,工商银行,EQ,5.18,5.18,5.21,5.14,5.19,5.19,5.18
2021-06-03,工商银行,EQ,5.19,5.19,5.2,5.15,5.15,5.15,5.166666666666667
2021-06-04,工商银行,EQ,5.15,5.16,5.2,5.15,5.17,5.17,5.173333333333334
2021-06-07,工商银行,EQ,5.17,5.18,5.18,5.16,5.17,5.17,5.17
2021-06-08,工商银行,EQ,5.17,5.17,5.2,5.16,5.2,5.2,5.1866666666666665
2021-06-09,工商银行,EQ,5.2,5.19,5.22,5.18,5.19,5.19,5.196666666666666
2021-06-10,工商银行,EQ,5.19,5.19,5.22,5.18,5.2,5.2,5.199999999999999
2021-06-11,工商银行,EQ,5.2,5.2,5.2,5.17,5.19,5.19,5.186666666666667
