Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP
2021-01-04,恒瑞医药,EQ,111.99,111.99,113.69,111.0,111.2,111.2,111.96333333333332
2021-01-05,恒瑞医药,EQ,111.2,111.2,116.66,111.19,113.23,113.23,113.69333333333333
2021-01-06,恒瑞医药,EQ,113.23,113.25,115.87,112.0,113.72,113.72,113.86333333333334
2021-01-07,恒瑞医药,EQ,113.72,114.86,115.0,111.8,115.0,115.0,113.93333333333334
2021-01-08,恒瑞医药,EQ,115.0,115.12,116.87,112.15,113.22,113.22,114.08
2021-01-11,恒瑞医药,EQ,113.22,112.32,114.15,110.0,111.3,111.3,111.81666666666666
2021-01-12,恒瑞医药,EQ,111.3,111.29,114.52,110.0,114.1,114.1,112.87333333333333
2021-01-13,恒瑞医药,EQ,114.1,114.01,114.49,111.62,112.57,112.57,112.89333333333333
2021-01-14,恒瑞医药,EQ,112.57,112.57,112.93,108.6,110.18,110.18,110.57000000000001
2021-01-15,恒瑞医药,EQ,110.18,111.5,111.5,108.01,109.83,109.83,109.77999999999999
2021-01-18,恒瑞医药,EQ,109.83,109.03,110.34,107.39,107.83,107.83,108.52
2021-01-19,恒瑞医药,EQ,107.83,108.5,108.5,104.28,104.95,104.95,105.91000000000001
2021-01-20,恒瑞医药,EQ,104.95,105.9,107.53,105.0,105.97,105.97,106.16666666666667
2021-01-21,恒瑞医药,EQ,105.97,106.0,108.8,105.38,108.15,108.15,107.44333333333334
2021-01-22,恒瑞医药,EQ,108.15,107.96,113.0,107.11,112.6,112.6,110.90333333333335
2021-01-25,恒瑞医药,EQ,112.6,112.78,113.63,109.5,111.45,111.45,111.52666666666666
2021-01-26,恒瑞医药,EQ,111.45,110.55,111.28,106.75,107.0,107.0,108.34333333333332
2021-01-27,恒瑞医药,EQ,107.0,107.7,108.18,105.5,106.62,106.62,106.76666666666667
2021-01-28,恒瑞医药,EQ,106.62,106.55,107.99,103.38,104.66,104.66,105.34333333333332
2021-01-29,恒瑞医药,EQ,104.66,104.25,105.12,101.01,103.76,103.76,103.29666666666667
2021-02-01,恒瑞医药,EQ,103.76,102.46,104.09,101.0,102.55,102.55,102.54666666666667
2021-02-02,恒瑞医药,EQ,102.55,103.71,107.0,102.05,106.0,106.0,105.01666666666667
2021-02-03,恒瑞医药,EQ,106.0,105.94,106.95,104.52,105.0,105.0,105.49000000000001
2021-02-04,恒瑞医药,EQ,105.0,104.0,104.4,101.51,102.8,102.8,102.90333333333335
2021-02-05,恒瑞医药,EQ,102.8,103.95,108.29,102.5,107.3,107.3,106.03000000000002
2021-02-08,恒瑞医药,EQ,107.3,107.31,109.35,105.85,106.28,106.28,107.16000000000001
2021-02-09,恒瑞医药,EQ,106.28,107.75,110.82,105.8,109.74,109.74,108.78666666666668
2021-02-10,恒瑞医药,EQ,109.74,109.2,110.75,107.12,109.2,109.2,109.02333333333333
2021-02-18,恒瑞医药,EQ,109.2,111.4,111.4,104.5,104.9,104.9,106.93333333333334
2021-02-19,恒瑞医药,EQ,104.9,104.57,105.78,102.81,105.16,105.16,104.58333333333333
2021-02-22,恒瑞医药,EQ,105.16,106.4,106.4,100.0,100.01,100.01,102.13666666666667
2021-02-23,恒瑞医药,EQ,100.01,99.34,101.96,99.0,100.7,100.7,100.55333333333333
2021-02-24,恒瑞医药,EQ,100.7,100.99,101.0,98.6,99.7,99.7,99.76666666666667
2021-02-25,恒瑞医药,EQ,99.7,100.0,102.24,99.15,101.05,101.05,100.81333333333333
2021-02-26,恒瑞医药,EQ,101.05,99.01,103.66,99.01,101.8,101.8,101.49000000000001
2021-03-01,恒瑞医药,EQ,101.8,102.8,102.8,99.31,100.31,100.31,100.80666666666667
2021-03-02,恒瑞医药,EQ,100.31,100.31,100.81,97.5,98.35,98.35,98.88666666666666
2021-03-03,恒瑞医药,EQ,98.35,98.5,101.48,97.54,101.35,101.35,100.12333333333333
2021-03-04,恒瑞医药,EQ,101.35,100.18,101.35,98.59,100.5,100.5,100.14666666666666
2021-03-05,恒瑞医药,EQ,100.5,98.52,101.13,98.49,100.3,100.3,99.97333333333334
2021-03-08,恒瑞医药,EQ,100.3,100.71,101.55,91.7,92.12,92.12,95.12333333333333
2021-03-09,恒瑞医药,EQ,92.12,92.88,94.69,89.39,91.78,91.78,91.95333333333333
2021-03-10,恒瑞医药,EQ,91.78,93.99,94.53,92.54,93.4,93.4,93.49000000000001
2021-03-11,恒瑞医药,EQ,93.4,93.99,94.88,92.5,93.48,93.48,93.62
2021-03-12,恒瑞医药,EQ,93.48,94.5,95.3,91.58,92.19,92.19,93.02333333333333
2021-03-15,恒瑞医药,EQ,92.19,91.13,92.05,88.57,89.59,89.59,90.07000000000001
2021-03-16,恒瑞医药,EQ,89.59,90.5,90.78,88.1,89.19,89.19,89.35666666666667
2021-03-17,恒瑞医药,EQ,89.19,89.2,89.76,87.58,88.62,88.62,88.65333333333335
2021-03-18,恒瑞医药,EQ,88.62,89.01,90.49,88.3,89.21,89.21,89.33333333333333
2021-03-19,恒瑞医药,EQ,89.21,88.0,88.94,87.2,88.05,88.05,88.06333333333333
2021-03-22,恒瑞医药,EQ,88.05,88.05,90.29,87.6,88.11,88.11,88.66666666666667
2021-03-23,恒瑞医药,EQ,88.11,87.06,88.45,87.01,87.65,87.65,87.70333333333333
2021-03-24,恒瑞医药,EQ,87.65,87.65,88.2,85.75,86.52,86.52,86.82333333333332
2021-03-25,恒瑞医药,EQ,86.52,85.7,87.87,85.09,87.23,87.23,86.73
2021-03-26,恒瑞医药,EQ,87.23,87.59,92.1,87.39,91.22,91.22,90.23666666666668
2021-03-29,恒瑞医药,EQ,91.22,91.3,91.9,90.13,90.53,90.53,90.85333333333334
2021-03-30,恒瑞医药,EQ,90.53,90.36,93.68,90.0,93.6,93.6,92.42666666666666
2021-03-31,恒瑞医药,EQ,93.6,93.21,93.21,91.01,92.09,92.09,92.10333333333334
2021-04-01,恒瑞医药,EQ,92.09,91.6,94.5,91.6,93.85,93.85,93.31666666666666
2021-04-02,恒瑞医药,EQ,93.85,94.0,94.84,91.88,92.68,92.68,93.13333333333333
2021-04-06,恒瑞医药,EQ,92.68,92.4,92.43,90.66,90.9,90.9,91.33
2021-04-07,恒瑞医药,EQ,90.9,91.2,91.3,89.74,90.68,90.68,90.57333333333334
2021-04-08,恒瑞医药,EQ,90.68,90.3,92.85,89.7,92.44,92.44,91.66333333333334
2021-04-09,恒瑞医药,EQ,92.44,93.0,93.2,90.5,91.2,91.2,91.63333333333333
2021-04-12,恒瑞医药,EQ,91.2,90.85,91.98,88.88,89.53,89.53,90.13
2021-04-13,恒瑞医药,EQ,89.53,89.39,90.3,87.66,88.98,88.98,88.98
2021-04-14,恒瑞医药,EQ,88.98,89.45,89.45,82.22,85.52,85.52,85.73
2021-04-15,恒瑞医药,EQ,85.52,84.52,84.58,82.06,82.18,82.18,82.94
