Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP
2021-01-04,海天味业,EQ,200.54,200.54,203.98,199.0,200.52,200.52,201.16666666666666
2021-01-05,海天味业,EQ,200.52,200.0,206.0,198.0,201.26,201.26,201.75333333333333
2021-01-06,海天味业,EQ,201.26,202.88,206.98,201.0,206.62,206.62,204.86666666666667
2021-01-07,海天味业,EQ,206.62,206.6,215.0,204.0,214.58,214.58,211.19333333333336
2021-01-08,海天味业,EQ,214.58,216.37,219.58,210.5,214.25,214.25,214.77666666666667
2021-01-11,海天味业,EQ,214.25,214.23,214.23,206.0,207.0,207.0,209.07666666666668
2021-01-12,海天味业,EQ,207.0,207.0,212.51,207.0,211.26,211.26,210.25666666666666
2021-01-13,海天味业,EQ,211.26,214.98,214.98,209.5,213.0,213.0,212.49333333333334
2021-01-14,海天味业,EQ,213.0,210.87,215.86,208.5,214.98,214.98,213.11333333333334
2021-01-15,海天味业,EQ,214.98,214.19,214.4,202.51,204.6,204.6,207.17
2021-01-18,海天味业,EQ,204.6,203.98,203.98,196.1,203.43,203.43,201.17
2021-01-19,海天味业,EQ,203.43,203.42,204.5,196.33,200.19,200.19,200.34
2021-01-20,海天味业,EQ,200.19,198.0,202.26,195.03,200.81,200.81,199.36666666666665
2021-01-21,海天味业,EQ,200.81,202.55,206.6,200.6,203.02,203.02,203.40666666666667
2021-01-22,海天味业,EQ,203.02,203.0,206.5,200.12,202.99,202.99,203.20333333333335
2021-01-25,海天味业,EQ,202.99,206.67,211.2,203.12,208.48,208.48,207.6
2021-01-26,海天味业,EQ,208.48,208.48,208.52,204.4,204.75,204.75,205.89000000000001
2021-01-27,海天味业,EQ,204.75,204.8,206.0,198.6,199.6,199.6,201.4
2021-01-28,海天味业,EQ,199.6,199.6,201.38,197.0,199.29,199.29,199.22333333333333
2021-01-29,海天味业,EQ,199.29,198.8,201.0,194.7,197.15,197.15,197.61666666666667
2021-02-01,海天味业,EQ,197.15,194.99,197.99,193.3,195.08,195.08,195.45666666666668
2021-02-02,海天味业,EQ,195.08,195.08,199.3,194.49,199.03,199.03,197.60666666666668
2021-02-03,海天味业,EQ,199.03,198.99,200.68,195.0,196.0,196.0,197.2266666666667
2021-02-04,海天味业,EQ,196.0,193.12,197.8,192.0,194.0,194.0,194.6
2021-02-05,海天味业,EQ,194.0,195.55,197.34,192.21,192.51,192.51,194.01999999999998
2021-02-08,海天味业,EQ,192.51,192.5,195.89,187.88,194.9,194.9,192.89
2021-02-09,海天味业,EQ,194.9,196.88,210.38,195.2,206.4,206.4,203.99333333333334
2021-02-10,海天味业,EQ,206.4,206.98,207.0,202.27,206.11,206.11,205.12666666666667
2021-02-18,海天味业,EQ,206.11,207.99,209.98,188.8,188.8,188.8,195.85999999999999
2021-02-19,海天味业,EQ,188.8,188.88,191.68,184.51,191.18,191.18,189.12333333333333
2021-02-22,海天味业,EQ,191.18,193.09,193.18,183.0,183.03,183.03,186.40333333333334
2021-02-23,海天味业,EQ,183.03,180.68,187.37,180.11,182.8,182.8,183.42666666666665
2021-02-24,海天味业,EQ,182.8,182.8,184.53,175.71,177.19,177.19,179.14333333333335
2021-02-25,海天味业,EQ,177.19,177.4,178.99,173.18,175.68,175.68,175.95000000000002
2021-02-26,海天味业,EQ,175.68,170.0,176.0,168.86,172.7,172.7,172.51999999999998
2021-03-01,海天味业,EQ,172.7,172.7,174.83,170.2,172.48,172.48,172.50333333333333
2021-03-02,海天味业,EQ,172.48,174.0,175.31,168.1,169.63,169.63,171.01333333333332
2021-03-03,海天味业,EQ,169.63,168.0,171.58,166.66,171.16,171.16,169.79999999999998
2021-03-04,海天味业,EQ,171.16,169.98,171.0,163.05,164.5,164.5,166.18333333333334
2021-03-05,海天味业,EQ,164.5,162.33,169.19,160.01,166.5,166.5,165.23333333333332
2021-03-08,海天味业,EQ,166.5,166.99,169.39,158.12,158.55,158.55,162.02
2021-03-09,海天味业,EQ,158.55,158.0,161.0,153.0,153.67,153.67,155.89
2021-03-10,海天味业,EQ,153.67,157.0,158.8,153.67,154.3,154.3,155.59
2021-03-11,海天味业,EQ,154.3,155.78,160.39,154.5,157.6,157.6,157.49666666666667
2021-03-12,海天味业,EQ,157.6,157.85,158.94,153.1,155.4,155.4,155.8133333333333
2021-03-15,海天味业,EQ,155.4,154.0,154.89,148.0,149.3,149.3,150.73
2021-03-16,海天味业,EQ,149.3,149.9,152.2,149.5,151.95,151.95,151.21666666666667
2021-03-17,海天味业,EQ,151.95,151.96,154.28,149.61,152.87,152.87,152.25333333333333
2021-03-18,海天味业,EQ,152.87,154.5,161.2,152.9,157.27,157.27,157.12333333333333
2021-03-19,海天味业,EQ,157.27,153.8,156.26,151.23,152.05,152.05,153.18
2021-03-22,海天味业,EQ,152.05,152.09,154.51,150.02,151.66,151.66,152.0633333333333
2021-03-23,海天味业,EQ,151.66,150.5,152.4,146.55,148.5,148.5,149.15
2021-03-24,海天味业,EQ,148.5,148.62,149.96,144.8,146.51,146.51,147.09
2021-03-25,海天味业,EQ,146.51,145.5,148.6,144.8,147.91,147.91,147.10333333333332
2021-03-26,海天味业,EQ,147.91,148.01,151.5,148.01,150.45,150.45,149.98666666666665
