Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP
2021-01-04,海尔智家,EQ,29.06,29.06,30.49,28.36,30.01,30.01,29.62
2021-01-05,海尔智家,EQ,30.01,29.7,32.13,29.51,31.78,31.78,31.14
2021-01-06,海尔智家,EQ,31.78,31.91,33.05,31.47,31.65,31.65,32.056666666666665
2021-01-07,海尔智家,EQ,31.65,31.7,32.98,31.63,32.68,32.68,32.43
2021-01-08,海尔智家,EQ,32.68,32.45,33.59,31.91,33.0,33.0,32.833333333333336
2021-01-11,海尔智家,EQ,33.0,33.0,34.02,32.12,32.67,32.67,32.93666666666667
2021-01-12,海尔智家,EQ,32.67,32.72,35.22,32.16,35.2,35.2,34.193333333333335
2021-01-13,海尔智家,EQ,35.2,35.35,35.79,33.99,35.13,35.13,34.97
2021-01-14,海尔智家,EQ,35.13,34.77,35.28,33.58,33.85,33.85,34.23666666666667
2021-01-15,海尔智家,EQ,33.85,33.4,33.7,32.5,33.31,33.31,33.17
2021-01-18,海尔智家,EQ,33.31,33.3,35.19,33.3,34.96,34.96,34.48333333333333
2021-01-19,海尔智家,EQ,34.96,34.97,35.06,32.8,33.76,33.76,33.873333333333335
2021-01-20,海尔智家,EQ,33.76,33.35,33.64,32.74,33.25,33.25,33.21
2021-01-21,海尔智家,EQ,33.25,33.43,34.68,33.26,34.0,34.0,33.98
2021-01-22,海尔智家,EQ,34.0,34.36,34.64,33.08,34.15,34.15,33.95666666666667
2021-01-25,海尔智家,EQ,34.15,34.22,35.55,33.99,35.31,35.31,34.949999999999996
2021-01-26,海尔智家,EQ,35.31,34.98,34.98,33.0,33.2,33.2,33.72666666666667
2021-01-27,海尔智家,EQ,33.2,33.1,34.3,32.8,33.7,33.7,33.6
2021-01-28,海尔智家,EQ,33.7,33.0,33.64,31.82,32.0,32.0,32.48666666666667
2021-01-29,海尔智家,EQ,32.0,32.66,32.89,31.1,31.85,31.85,31.94666666666667
2021-02-01,海尔智家,EQ,31.85,32.0,32.2,31.37,31.8,31.8,31.790000000000003
2021-02-02,海尔智家,EQ,31.8,32.2,33.3,31.97,33.26,33.26,32.843333333333334
2021-02-03,海尔智家,EQ,33.26,33.5,33.77,32.1,32.8,32.8,32.89
2021-02-04,海尔智家,EQ,32.8,32.5,32.89,31.91,32.77,32.77,32.52333333333333
2021-02-05,海尔智家,EQ,32.77,32.6,34.44,32.3,33.68,33.68,33.47333333333333
2021-02-08,海尔智家,EQ,33.68,33.75,34.94,33.4,34.66,34.66,34.333333333333336
2021-02-09,海尔智家,EQ,34.66,34.69,35.04,33.53,34.38,34.38,34.31666666666666
2021-02-10,海尔智家,EQ,34.38,34.2,35.26,34.03,34.9,34.9,34.73
2021-02-18,海尔智家,EQ,34.9,35.6,35.95,33.21,33.52,33.52,34.22666666666667
2021-02-19,海尔智家,EQ,33.52,33.0,33.15,31.86,32.6,32.6,32.53666666666666
2021-02-22,海尔智家,EQ,32.6,32.62,32.65,29.4,29.52,29.52,30.52333333333333
2021-02-23,海尔智家,EQ,29.52,29.29,31.23,29.05,30.48,30.48,30.253333333333334
2021-02-24,海尔智家,EQ,30.48,31.0,31.86,29.78,30.0,30.0,30.546666666666667
2021-02-25,海尔智家,EQ,30.0,29.94,30.27,29.56,30.1,30.1,29.97666666666667
2021-02-26,海尔智家,EQ,30.1,29.2,29.45,28.4,28.92,28.92,28.923333333333332
2021-03-01,海尔智家,EQ,28.92,29.31,30.16,29.0,29.63,29.63,29.596666666666664
2021-03-02,海尔智家,EQ,29.63,30.0,30.74,29.38,29.55,29.55,29.89
2021-03-03,海尔智家,EQ,29.55,29.56,29.8,28.83,29.44,29.44,29.356666666666666
2021-03-04,海尔智家,EQ,29.44,29.0,29.0,28.1,28.29,28.29,28.463333333333335
2021-03-05,海尔智家,EQ,28.29,27.89,28.64,27.42,28.14,28.14,28.066666666666666
2021-03-08,海尔智家,EQ,28.14,29.1,29.54,27.97,28.0,28.0,28.50333333333333
2021-03-09,海尔智家,EQ,28.0,27.72,28.97,27.1,28.14,28.14,28.070000000000004
2021-03-10,海尔智家,EQ,28.14,28.63,29.25,28.48,28.97,28.97,28.900000000000002
2021-03-11,海尔智家,EQ,28.97,28.89,29.68,28.6,29.37,29.37,29.21666666666667
2021-03-12,海尔智家,EQ,29.37,29.41,30.48,29.41,29.99,29.99,29.959999999999997
2021-03-15,海尔智家,EQ,29.99,30.1,30.34,28.7,28.97,28.97,29.336666666666662
2021-03-16,海尔智家,EQ,28.97,29.09,29.96,29.01,29.49,29.49,29.486666666666665
2021-03-17,海尔智家,EQ,29.49,29.59,30.57,29.02,30.4,30.4,29.99666666666667
2021-03-18,海尔智家,EQ,30.4,30.28,31.0,30.2,30.57,30.57,30.590000000000003
2021-03-19,海尔智家,EQ,30.57,30.26,30.26,29.49,29.67,29.67,29.80666666666667
2021-03-22,海尔智家,EQ,29.67,29.73,30.53,29.5,29.97,29.97,30.0
2021-03-23,海尔智家,EQ,29.97,29.97,30.48,29.26,29.6,29.6,29.78
2021-03-24,海尔智家,EQ,29.6,29.7,29.98,29.07,29.2,29.2,29.416666666666668
2021-03-25,海尔智家,EQ,29.2,28.8,29.2,28.4,28.9,28.9,28.833333333333332
2021-03-26,海尔智家,EQ,28.9,29.15,29.88,28.5,29.68,29.68,29.353333333333335
2021-03-29,海尔智家,EQ,29.68,29.78,30.49,29.6,30.29,30.29,30.126666666666665
2021-03-30,海尔智家,EQ,30.29,30.5,30.61,29.52,29.99,29.99,30.039999999999996
2021-03-31,海尔智家,EQ,29.99,30.5,32.0,30.4,31.18,31.18,31.19333333333333
2021-04-01,海尔智家,EQ,31.18,31.5,32.9,31.5,32.36,32.36,32.25333333333334
2021-04-02,海尔智家,EQ,32.36,32.5,32.65,31.75,32.13,32.13,32.17666666666667
2021-04-06,海尔智家,EQ,32.13,32.25,32.42,31.6,31.85,31.85,31.956666666666667
2021-04-07,海尔智家,EQ,31.85,31.7,32.25,31.35,32.2,32.2,31.933333333333337
2021-04-08,海尔智家,EQ,32.2,32.03,32.72,31.58,32.37,32.37,32.22333333333333
